sku,product_num,product_color,product_size,total_each_sku,product_unit_price,order_date,order_id
501-ChiliPepperRed-S,501,ChiliPepperRed,S,1,74,2020/01/01,4259
501-Black-S,501,Black,S,1,74,2020/01/01,4259
501-SlateGray-S,501,SlateGray,S,1,74,2020/01/01,4259
501-Navy-S,501,Navy,S,1,74,2020/01/01,4259
501-White-S,501,White,S,1,74,2020/01/01,4259
402-FuchsiaPurple-M,402,FuchsiaPurple,M,1,76,2020/01/01,4255
302-Bluestone-M,302,Bluestone,M,1,82.33,2020/01/01,4249
202-Black-M,202,Black,M,1,80,2020/01/01,4252
230-Black-XL,230,Black,XL,1,80,2020/01/01,4248
802-Ivory-XS,802,Ivory,XS,1,84,2020/01/01,4250
1041-Black-S,1041,Black,S,1,89,2020/01/01,4263
402-SlateGray-S,402,SlateGray,S,1,80,2020/01/01,4262
402-Black-S,402,Black,S,1,80,2020/01/01,4262
802-Black-L,802,Black,L,1,84,2020/01/01,4256
